,rank,batch_size,learning_rate,MAE,MSE,RMSE,R2,MAPE,Trainable Params,All Params,Trainable Percentage,Runtime,method,pearson
25,0,32,0.01,0.4053120911121368,0.3862903416156769,0.6215226054191589,0.7932476997375488,71.34904861450195,65281,89743105,0.0727420786254275,2.7598,IA3,
26,0,512,0.01,0.587844729423523,0.7228445410728455,0.8502026200294495,0.6131154298782349,110.9000563621521,65281,89743105,0.0727420786254275,2.6469,IA3,
27,0,64,0.01,0.5492624640464783,0.6035521626472473,0.7768862247467041,0.6769636869430542,103.48232984542848,65281,89743105,0.0727420786254275,2.7057,IA3,
28,16,128,0.002,0.4229831993579864,0.4308784306049347,0.6564133167266846,0.7693830132484436,79.323810338974,590593,90268417,0.6542631627183625,2.664,LoRA,
29,16,32,0.002,0.3825317621231079,0.355017215013504,0.5958331823348999,0.8099858164787292,70.86371183395386,590593,90268417,0.6542631627183625,2.772,LoRA,
30,16,512,0.002,0.474056214094162,0.5016301274299622,0.7082585096359253,0.7315149307250977,88.12562227249146,590593,90268417,0.6542631627183625,2.673,LoRA,
31,2,128,0.001,0.4891882538795471,0.4966442584991455,0.7047299146652222,0.7219364643096924,106.95762634277344,92929,89770753,0.1035181246613805,3.1328,DoRA,
32,4,128,0.001,0.4668308198451996,0.4623554944992065,0.6799672842025757,0.7411342859268188,103.86807918548584,166657,89844481,0.1854949777048631,3.1405,DoRA,
33,8,128,0.001,0.4924593865871429,0.4936746954917907,0.7026198506355286,0.7235990762710571,106.15521669387816,314113,89991937,0.3490457150622283,3.1405,DoRA,
34,16,128,0.001,0.4470448791980743,0.4272297322750091,0.6536281108856201,0.7608006000518799,91.77199602127077,609025,90286849,0.6745445286278625,3.1284,DoRA,
35,32,128,0.001,0.4428705275058746,0.4289086163043976,0.6549111604690552,0.759860634803772,94.27082538604736,1180417,90858241,1.2991853980532158,3.1514,DoRA,
36,16,2,0.002,1.1271104,1.9763349,1.4058218,-0.0577841997146606,146.3059902191162,590593,90268417,0.6542631627183625,5.4421,DoRA,
37,0,32,0.002,0.7513119578361511,0.987308919429779,0.9936342239379884,0.4715673923492431,119.20555830001832,769,89678593,0.0008575067630688,2.6156,baseline,
38,0,32,0.002,0.4907990097999573,0.5342880487442017,0.730950117111206,0.7140355706214905,93.90722513198853,65281,89743105,0.0727420786254275,2.7731,IA3,
39,0,32,0.001,0.5326651334762573,0.6160709857940674,0.7849019169807434,0.6702632904052734,100.95421075820924,65281,89743105,0.0727420786254275,2.7769,IA3,0.7539050631223356
40,16,16,0.001,0.3812901377677917,0.3564207851886749,0.5970098972320557,0.809234619140625,67.34681129455566,590593,90268417,0.6542631627183625,2.8989,LoRA,0.8375102029172139
41,16,16,0.001,0.378170371055603,0.3530591428279876,0.5941877961158752,0.8110338449478149,64.35961723327637,609025,90286849,0.6745445286278625,3.465,DoRA,0.8354671321532847
42,0,16,0.001,0.7795042395591736,1.055385708808899,1.0273196697235107,0.4351310133934021,122.89162874221802,769,89678593,0.0008575067630688,2.7229,baseline,0.5845735008914688
43,0,16,0.001,0.5219936370849609,0.6047739386558533,0.7776721119880676,0.6763097047805786,99.97559189796448,65281,89743105,0.0727420786254275,2.8687,IA3,0.7625520952313952
44,16,16,0.002,0.4403335154056549,0.4513336420059204,0.6718136668205261,0.7584348917007446,71.96105122566223,590593,90268417,0.6542631627183625,2.8793,LoRA,0.8012358540924321
45,16,16,0.002,0.3812040686607361,0.3482897579669952,0.5901607871055603,0.8135865330696106,62.07460165023804,609025,90286849,0.6745445286278625,3.4539,DoRA,0.8459336079681344
46,0,16,0.002,0.7680582404136658,1.027838110923767,1.0138235092163086,0.4498751759529114,121.35077714920044,769,89678593,0.0008575067630688,2.7137,baseline,0.6008022911202715
47,0,16,0.002,0.489094465970993,0.5298734307289124,0.7279240489006042,0.7163983583450317,91.43694043159483,65281,89743105,0.0727420786254275,2.8702,IA3,0.7896723082339417
48,32,16,0.002,0.3661959171295166,0.3306883871555328,0.5750551223754883,0.8230072259902954,59.84158515930176,1198849,90876673,1.319204324304434,3.4599,DoRA,0.8484562425115285
49,32,16,0.002,0.3934067189693451,0.3749320805072784,0.6123169660568237,0.7993268966674805,61.08270883560181,1180417,90858241,1.2991853980532158,2.8867,LoRA,0.825573316644954
52,32,16,0.002,0.3500056862831116,0.2862388491630554,0.53501296043396,0.8397392630577087,66.84465026855469,1198849,90876673,1.319204324304434,3.4991,DoRA_test,0.9285888766379332
53,2,16,0.002,1.1708427667617798,1.874744176864624,1.369212985038757,-0.0034103393554687,130.77874755859375,74497,89752321,0.0830028674133118,2.897,LoRA,0.1097878526032286
54,2,16,0.002,0.4109925031661987,0.4017604291439056,0.6338457465171814,0.7849676609039307,72.55171203613281,92929,89770753,0.1035181246613805,3.4832,DoRA,0.8286542545034604
55,4,16,0.002,0.4471802413463592,0.4769878387451172,0.6906430721282959,0.7447040677070618,67.87712860107422,148225,89826049,0.1650133804727401,2.8889,LoRA,0.7855812631111011
56,4,16,0.002,0.3714829087257385,0.335505872964859,0.5792286992073059,0.8204287886619568,58.24235153198242,166657,89844481,0.1854949777048631,3.468,DoRA,0.8483001495027944
57,8,16,0.002,0.4254675805568695,0.4320237934589386,0.6572851538658142,0.7687699794769287,71.72882843017578,295681,89973505,0.3286311898152684,2.8935,LoRA,0.8078060222643697
58,8,16,0.002,0.4018342196941376,0.3752013444900512,0.6125367879867554,0.7991827726364136,64.79934692382812,314113,89991937,0.3490457150622283,3.476,DoRA,0.8397120312869969
59,32,16,0.01,1.1638810634613037,1.88083815574646,1.3714364767074585,-0.0066720247268676,132.6234893798828,1198849,90876673,1.319204324304434,3.4151,DoRA,0.0001857388266936
60,32,16,0.0001,0.4848183095455169,0.5364617705345154,0.7324355244636536,0.7128721475601196,92.0239028930664,1198849,90876673,1.319204324304434,3.476,DoRA,0.7769433033879294
